[7/27/2023, 11:28:58 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 404
[7/29/2023, 12:28:09 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:31:25 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:33:30 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:41:25 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:43:17 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:47:18 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:51:47 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:55:58 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 1:02:55 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 1:03:53 PM] Error invoking linkedin/UpdateAll API: connect ECONNREFUSED 127.0.0.1:3001
[7/29/2023, 1:04:09 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:26:20 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:28:08 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:30:16 PM] Error invoking linkedin/UpdateAll API: connect ECONNREFUSED 127.0.0.1:3001
[7/29/2023, 4:30:33 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:34:05 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:36:36 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:37:15 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:39:39 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:39:55 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 4:42:28 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 6:26:13 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 6:29:29 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 6:33:48 PM] linkedin/UpdateAll API invoked successfully.
[7/29/2023, 6:42:50 PM] linkedin/UpdateAll API invoked successfully.
[7/29/2023, 6:49:11 PM] linkedin/UpdateAll API invoked successfully.
[7/29/2023, 6:51:19 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 6:52:33 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 6:54:12 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 7:06:41 PM] linkedin/UpdateAll API invoked successfully.
[7/29/2023, 7:26:08 PM] linkedin/UpdateAll API invoked successfully.
[7/29/2023, 8:07:39 PM] linkedin/UpdateAll API invoked successfully.
[7/30/2023, 8:31:26 AM] linkedin/UpdateAll API invoked successfully.
[7/30/2023, 8:38:14 AM] Error invoking linkedin/UpdateAll API: socket hang up
[7/30/2023, 8:43:00 AM] linkedin/UpdateAll API invoked successfully.
[8/1/2023, 5:58:33 AM] linkedin/UpdateAll API invoked successfully.
[8/1/2023, 11:55:00 PM] linkedin/UpdateAll API invoked successfully.
[8/2/2023, 11:48:26 PM] linkedin/UpdateAll API invoked successfully.
[8/4/2023, 12:32:06 AM] linkedin/UpdateAll API invoked successfully.
[8/5/2023, 12:43:53 AM] linkedin/UpdateAll API invoked successfully.
[8/6/2023, 12:20:21 AM] linkedin/UpdateAll API invoked successfully.
[8/7/2023, 12:19:25 AM] linkedin/UpdateAll API invoked successfully.
[8/7/2023, 11:10:06 PM] Error invoking linkedin/UpdateAll API: connect ECONNREFUSED 127.0.0.1:3001
